timestamp,action,direction,price,contracts,cost,capital_after,predicted_return,volatility,pnl_points,gross_pnl,net_pnl,reason,consecutive_losses
2019-11-27 21:36:00,OPEN,SHORT,27039.0,1,185.19499999998152,5632607.4399999995,-0.001704506593846757,0.002416154971990158,,,,,
2019-11-27 21:37:00,CLOSE,SHORT,27037.0,1,185.18499999998153,5632522.255,,,2.0,100.0,-85.18499999998153,signal,1.0
2019-11-27 21:39:00,OPEN,SHORT,27041.0,1,185.2049999999815,5632337.05,-0.001486962005008659,0.002362027991790104,,,,,
2019-11-27 21:40:00,CLOSE,SHORT,27040.0,1,185.19999999998151,5632201.85,,,1.0,50.0,-135.19999999998151,signal,2.0
2019-11-27 21:41:00,OPEN,SHORT,27040.0,1,185.19999999998151,5632016.649999999,-0.0003697864496097028,0.0017033535115492436,,,,,
2019-11-27 21:42:00,CLOSE,SHORT,26969.0,1,184.84499999998144,5635381.805,,,71.0,3550.0,3365.1550000000184,signal,0.0
2019-11-27 21:44:00,OPEN,SHORT,27030.0,1,185.1499999999815,5635196.654999999,-0.0014834430952499105,0.0017305874234886302,,,,,
2019-11-27 21:48:00,CLOSE,SHORT,27035.0,1,185.1749999999815,5634761.4799999995,,,-5.0,-250.0,-435.17499999998154,signal,1.0
2019-11-27 21:50:00,OPEN,SHORT,27031.0,1,185.1549999999815,5634576.324999999,-0.0008895650289518528,0.00019644682605098672,,,,,
2019-11-27 21:52:00,CLOSE,SHORT,26963.0,1,184.81499999998147,5637791.509999999,,,68.0,3400.0,3215.1850000000186,reverse,0.0
2019-11-27 21:52:00,OPEN,LONG,26963.0,1,184.81499999998147,5637606.694999998,0.0003324890137700787,0.0010895311534219524,,,,,
2019-11-27 21:53:00,CLOSE,LONG,27030.0,1,185.1499999999815,5640771.544999998,,,67.0,3350.0,3164.8500000000186,signal,0.0
2019-11-27 21:55:00,OPEN,SHORT,27030.0,1,185.1499999999815,5640586.394999998,-0.0014558531431204489,0.0024450670955275555,,,,,
2019-11-27 21:57:00,CLOSE,SHORT,26961.0,1,184.80499999998145,5643851.589999998,,,69.0,3450.0,3265.1950000000184,reverse,0.0
2019-11-27 21:57:00,OPEN,LONG,26961.0,1,184.80499999998145,5643666.784999998,0.0005867356419432952,0.0024544861250009073,,,,,
2019-11-27 21:58:00,CLOSE,LONG,27024.0,1,185.1199999999815,5646631.664999998,,,63.0,3150.0,2964.8800000000183,reverse,0.0
2019-11-27 21:58:00,OPEN,SHORT,27024.0,1,185.1199999999815,5646446.544999998,-0.001228165653000871,0.0024174097621400673,,,,,
2019-11-27 22:00:00,CLOSE,SHORT,27022.0,1,185.1099999999815,5646361.434999998,,,2.0,100.0,-85.10999999998151,signal,1.0
2019-11-27 22:03:00,OPEN,SHORT,27021.0,1,185.10499999998152,5646176.329999997,-0.0013134211858875703,8.912244410696867e-05,,,,,
2019-11-27 22:04:00,CLOSE,SHORT,27015.0,1,185.07499999998151,5646291.254999997,,,6.0,300.0,114.92500000001849,signal,0.0
2019-11-27 22:05:00,OPEN,SHORT,27015.0,1,185.07499999998151,5646106.179999997,-0.0005636883497557311,0.00010335857239621353,,,,,
2019-11-27 22:06:00,CLOSE,SHORT,26952.0,1,184.75999999998146,5649071.419999997,,,63.0,3150.0,2965.2400000000184,signal,0.0
2019-11-27 22:08:00,OPEN,SHORT,27018.0,1,185.0899999999815,5648886.329999997,-0.0009199235004663367,0.00164299310823828,,,,,
2019-11-27 22:09:00,CLOSE,SHORT,27015.0,1,185.07499999998151,5648851.254999997,,,3.0,150.0,-35.074999999981515,signal,1.0
2019-11-27 22:11:00,OPEN,SHORT,27018.0,1,185.0899999999815,5648666.164999997,-0.0008388855484056968,0.001017090479701166,,,,,
2019-11-27 22:12:00,CLOSE,SHORT,27022.0,1,185.1099999999815,5648281.054999997,,,-4.0,-200.0,-385.1099999999815,signal,2.0
2019-11-27 22:14:00,OPEN,SHORT,27025.0,1,185.1249999999815,5648095.929999997,-0.0010988089701140877,0.0016121503701343382,,,,,
2019-11-27 22:16:00,CLOSE,SHORT,26962.0,1,184.80999999998144,5651061.119999997,,,63.0,3150.0,2965.1900000000187,reverse,0.0
2019-11-27 22:16:00,OPEN,LONG,26962.0,1,184.80999999998144,5650876.309999998,0.00030128349419288026,0.001914316575218514,,,,,
2019-11-27 22:17:00,CLOSE,LONG,27029.0,1,185.1449999999815,5654041.164999998,,,67.0,3350.0,3164.8550000000187,reverse,0.0
2019-11-27 22:17:00,OPEN,SHORT,27029.0,1,185.1449999999815,5653856.019999999,-0.0013518975461515278,0.0023265659562676077,,,,,
2019-11-27 22:18:00,CLOSE,SHORT,26963.0,1,184.81499999998147,5656971.204999998,,,66.0,3300.0,3115.1850000000186,signal,0.0
2019-11-27 22:20:00,OPEN,SHORT,27028.0,1,185.1399999999815,5656786.064999999,-0.0015927455001714921,0.002372980055445626,,,,,
2019-11-27 22:21:00,CLOSE,SHORT,26962.0,1,184.80999999998144,5659901.254999999,,,66.0,3300.0,3115.1900000000187,reverse,0.0
2019-11-27 22:21:00,OPEN,LONG,26962.0,1,184.80999999998144,5659716.444999999,0.0003544235634655988,0.0024186350560939495,,,,,
2019-11-27 22:22:00,CLOSE,LONG,27027.0,1,185.13499999998152,5662781.31,,,65.0,3250.0,3064.8650000000184,reverse,0.0
2019-11-27 22:22:00,OPEN,SHORT,27027.0,1,185.13499999998152,5662596.175,-0.000511354910704114,0.002399753496670378,,,,,
2019-11-27 22:23:00,CLOSE,SHORT,26962.0,1,184.80999999998144,5665661.365,,,65.0,3250.0,3065.1900000000187,reverse,0.0
2019-11-27 22:23:00,OPEN,LONG,26962.0,1,184.80999999998144,5665476.555000001,0.00028623081318106914,0.002390473778045813,,,,,
2019-11-27 22:24:00,CLOSE,LONG,27030.0,1,185.1499999999815,5668691.405,,,68.0,3400.0,3214.8500000000186,reverse,0.0
