trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1091,2019-11-12 17:50:00,26957.0,1,1,23122.8,830.0,-310.0,890.0,2019-11-12 18:01:00,26973.0,model_exit,4625390.0
1092,2019-11-12 18:02:00,26982.0,-1,1,23126.95,-570.0,-570.0,0.0,2019-11-12 18:03:00,26984.0,model_exit,4624820.0
1093,2019-11-12 18:04:00,26997.0,-1,1,23124.100000000002,-770.0,-770.0,0.0,2019-11-12 18:05:00,26999.0,model_exit,4624050.0
1094,2019-11-12 18:06:00,26993.0,-1,1,23120.25,230.0,0.0,540.0,2019-11-12 18:09:00,26990.0,model_exit,4624280.0
1095,2019-11-12 18:10:00,26985.0,1,1,23121.4,-270.0,-510.0,40.0,2019-11-12 18:21:00,26993.0,model_exit,4624010.0
1096,2019-11-12 18:22:00,26994.0,1,1,23120.05,-420.0,-420.0,140.0,2019-11-12 18:25:00,26985.0,model_exit,4623590.0
1097,2019-11-12 18:26:00,26986.0,1,1,23117.95,-270.0,-270.0,0.0,2019-11-12 18:28:00,26977.0,model_exit,4623320.0
1098,2019-11-12 18:29:00,26975.0,1,1,23116.600000000002,230.0,-160.0,290.0,2019-11-12 18:33:00,26986.0,model_exit,4623550.0
1099,2019-11-12 18:34:00,26989.0,1,1,23117.75,380.0,-310.0,540.0,2019-11-12 18:45:00,26995.0,model_exit,4623930.0
1100,2019-11-12 18:46:00,26989.0,1,1,23119.65,-470.0,-660.0,0.0,2019-11-12 19:02:00,26991.0,model_exit,4623460.0
1101,2019-11-12 19:03:00,26993.0,1,1,23117.3,-120.0,-210.0,540.0,2019-11-12 19:22:00,26992.0,model_exit,4623340.0
1102,2019-11-12 19:23:00,26994.0,1,1,23116.7,-1520.0,-1960.0,40.0,2019-11-12 19:59:00,26966.0,model_exit,4621820.0
1103,2019-11-12 20:00:00,26964.0,1,1,23109.100000000002,580.0,-160.0,790.0,2019-11-12 20:33:00,26975.0,model_exit,4622400.0
1104,2019-11-12 20:34:00,26978.0,1,1,23112.0,-420.0,-420.0,240.0,2019-11-12 20:48:00,26966.0,model_exit,4621980.0
1105,2019-11-12 20:49:00,26969.0,1,1,23109.9,-420.0,-420.0,90.0,2019-11-12 21:07:00,26958.0,model_exit,4621560.0
1106,2019-11-12 21:08:00,26953.0,1,1,23107.8,-520.0,-610.0,690.0,2019-11-12 21:45:00,26953.0,model_exit,4621040.0
1107,2019-11-12 21:46:00,26955.0,1,1,23105.2,630.0,0.0,1440.0,2019-11-12 22:38:00,26967.0,model_exit,4621670.0
1108,2019-11-12 22:39:00,26965.0,1,1,23108.350000000002,-920.0,-920.0,0.0,2019-11-12 22:53:00,26946.0,model_exit,4620750.0
1109,2019-11-12 22:54:00,26947.0,1,1,23103.75,-920.0,-920.0,0.0,2019-11-12 22:56:00,26932.0,model_exit,4619830.0
