trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
612,2019-12-02 16:23:00,26460.0,1,5,30090.75,4150.0,-800.0,4450.0,2019-12-02 16:25:00,26474.0,model_exit,6022300.0
613,2019-12-02 16:28:00,26488.0,1,5,30111.5,-34600.0,-34600.0,1700.0,2019-12-03 09:16:00,26385.0,stop_loss,5987700.0
614,2019-12-03 09:36:00,26110.0,1,5,29938.5,2150.0,0.0,2450.0,2019-12-03 09:38:00,26104.0,model_exit,5989850.0
615,2019-12-03 09:39:00,26081.0,1,5,29949.25,-2600.0,-6050.0,0.0,2019-12-03 09:42:00,26110.0,model_exit,5987250.0
616,2019-12-03 09:43:00,26100.0,1,5,29936.25,-3100.0,-3100.0,0.0,2019-12-03 09:44:00,26128.0,model_exit,5984150.0
617,2019-12-03 09:46:00,26122.0,1,5,29920.75,-350.0,-350.0,0.0,2019-12-03 09:47:00,26140.0,model_exit,5983800.0
618,2019-12-03 09:48:00,26126.0,1,5,29919.0,-4100.0,-4100.0,0.0,2019-12-03 09:49:00,26160.0,model_exit,5979700.0
619,2019-12-03 09:51:00,26162.0,1,5,29898.5,650.0,0.0,2200.0,2019-12-03 09:53:00,26161.0,model_exit,5980350.0
620,2019-12-03 09:54:00,26189.0,1,5,29901.75,6400.0,0.0,6700.0,2019-12-03 09:55:00,26204.0,model_exit,5986750.0
621,2019-12-03 09:58:00,26235.0,1,5,29933.75,1150.0,0.0,1450.0,2019-12-03 10:00:00,26220.0,model_exit,5987900.0
622,2019-12-03 10:01:00,26211.0,1,5,29939.5,1900.0,-2550.0,2200.0,2019-12-03 10:03:00,26240.0,model_exit,5989800.0
623,2019-12-03 10:05:00,26267.0,1,5,29949.0,4150.0,0.0,4450.0,2019-12-03 10:06:00,26264.0,model_exit,5993950.0
624,2019-12-03 10:07:00,26300.0,1,5,29969.75,8400.0,0.0,8700.0,2019-12-03 10:08:00,26247.0,model_exit,6002350.0
