timestamp,price,action,previous_position,position,trade_size,gross_pnl,cost,net_pnl,equity
2019-11-30 00:38:00,26406.0,2,1,1,0,-150.0,0.0,-150.0,4479080.0
2019-11-30 00:39:00,26406.0,0,1,-1,2,-0.0,120.0,-120.0,4478960.0
2019-11-30 00:40:00,26407.0,0,-1,-1,0,-50.0,0.0,-50.0,4478910.0
2019-11-30 00:41:00,26407.0,0,-1,-1,0,-0.0,0.0,-0.0,4478910.0
2019-11-30 00:42:00,26401.0,0,-1,-1,0,300.0,0.0,300.0,4479210.0
2019-11-30 00:43:00,26397.0,0,-1,-1,0,200.0,0.0,200.0,4479410.0
2019-11-30 00:44:00,26399.0,0,-1,-1,0,-100.0,0.0,-100.0,4479310.0
2019-11-30 00:45:00,26398.0,0,-1,-1,0,50.0,0.0,50.0,4479360.0
2019-11-30 00:46:00,26394.0,0,-1,-1,0,200.0,0.0,200.0,4479560.0
2019-11-30 00:47:00,26392.0,0,-1,-1,0,100.0,0.0,100.0,4479660.0
2019-11-30 00:48:00,26393.0,0,-1,-1,0,-50.0,0.0,-50.0,4479610.0
2019-11-30 00:49:00,26393.0,0,-1,-1,0,-0.0,0.0,-0.0,4479610.0
2019-11-30 00:50:00,26390.0,0,-1,-1,0,150.0,0.0,150.0,4479760.0
2019-11-30 00:51:00,26394.0,0,-1,-1,0,-200.0,0.0,-200.0,4479560.0
2019-11-30 00:52:00,26394.0,2,-1,1,2,0.0,120.0,-120.0,4479440.0
2019-11-30 00:53:00,26394.0,2,1,1,0,0.0,0.0,0.0,4479440.0
2019-11-30 00:54:00,26413.0,2,1,1,0,950.0,0.0,950.0,4480390.0
2019-11-30 00:55:00,26415.0,1,1,0,1,0.0,60.0,-60.0,4480330.0
2019-11-30 00:56:00,26413.0,0,0,-1,1,100.0,60.0,40.0,4480370.0
2019-11-30 00:57:00,26414.0,0,-1,-1,0,-50.0,0.0,-50.0,4480320.0
2019-11-30 00:58:00,26412.0,2,-1,1,2,-100.0,120.0,-220.0,4480100.0
2019-11-30 00:59:00,26413.0,2,1,1,0,50.0,0.0,50.0,4480150.0
2019-11-30 01:00:00,26414.0,2,1,1,0,50.0,0.0,50.0,4480200.0
2019-11-30 01:01:00,26413.0,2,1,1,0,-50.0,0.0,-50.0,4480150.0
2019-11-30 01:02:00,26414.0,2,1,1,0,50.0,0.0,50.0,4480200.0
2019-11-30 01:03:00,26411.0,2,1,1,0,-150.0,0.0,-150.0,4480050.0
2019-11-30 01:04:00,26409.0,2,1,1,0,-100.0,0.0,-100.0,4479950.0
2019-11-30 01:05:00,26409.0,2,1,1,0,0.0,0.0,0.0,4479950.0
2019-11-30 01:06:00,26411.0,2,1,1,0,100.0,0.0,100.0,4480050.0
2019-11-30 01:08:00,26403.0,2,1,1,0,-400.0,0.0,-400.0,4479650.0
2019-11-30 01:09:00,26403.0,2,1,1,0,0.0,0.0,0.0,4479650.0
2019-11-30 01:10:00,26457.0,2,1,1,0,2700.0,0.0,2700.0,4482350.0
2019-11-30 01:11:00,26406.0,2,1,1,0,-2550.0,0.0,-2550.0,4479800.0
2019-11-30 01:12:00,26402.0,2,1,1,0,-200.0,0.0,-200.0,4479600.0
2019-11-30 01:13:00,26398.0,2,1,1,0,-200.0,0.0,-200.0,4479400.0
2019-11-30 01:14:00,26395.0,2,1,1,0,-150.0,0.0,-150.0,4479250.0
2019-11-30 01:15:00,26400.0,2,1,1,0,250.0,0.0,250.0,4479500.0
2019-11-30 01:16:00,26396.0,2,1,1,0,-200.0,0.0,-200.0,4479300.0
2019-11-30 01:17:00,26390.0,2,1,1,0,-300.0,0.0,-300.0,4479000.0
2019-11-30 01:18:00,26392.0,0,1,-1,2,-100.0,120.0,-220.0,4478780.0
2019-11-30 01:19:00,26389.0,2,-1,1,2,-150.0,120.0,-270.0,4478510.0
2019-11-30 01:20:00,26392.0,2,1,1,0,150.0,0.0,150.0,4478660.0
2019-11-30 01:21:00,26394.0,2,1,1,0,100.0,0.0,100.0,4478760.0
2019-11-30 01:22:00,26388.0,2,1,1,0,-300.0,0.0,-300.0,4478460.0
2019-11-30 01:23:00,26393.0,2,1,1,0,250.0,0.0,250.0,4478710.0
2019-11-30 01:24:00,26397.0,2,1,1,0,200.0,0.0,200.0,4478910.0
2019-11-30 01:25:00,26391.0,2,1,1,0,-300.0,0.0,-300.0,4478610.0
2019-11-30 01:26:00,26386.0,2,1,1,0,-250.0,0.0,-250.0,4478360.0
2019-11-30 01:27:00,26382.0,2,1,1,0,-200.0,0.0,-200.0,4478160.0
2019-11-30 01:28:00,26383.0,2,1,1,0,50.0,0.0,50.0,4478210.0
2019-11-30 01:29:00,26381.0,2,1,1,0,-100.0,0.0,-100.0,4478110.0
2019-11-30 01:30:00,26383.0,2,1,1,0,100.0,0.0,100.0,4478210.0
2019-11-30 01:31:00,26385.0,2,1,1,0,100.0,0.0,100.0,4478310.0
2019-11-30 01:32:00,26385.0,2,1,1,0,0.0,0.0,0.0,4478310.0
2019-11-30 01:33:00,26385.0,2,1,1,0,0.0,0.0,0.0,4478310.0
2019-11-30 01:34:00,26387.0,2,1,1,0,100.0,0.0,100.0,4478410.0
2019-11-30 01:35:00,26388.0,2,1,1,0,50.0,0.0,50.0,4478460.0
2019-11-30 01:36:00,26384.0,2,1,1,0,-200.0,0.0,-200.0,4478260.0
2019-11-30 01:37:00,26384.0,2,1,1,0,0.0,0.0,0.0,4478260.0
2019-11-30 01:38:00,26380.0,2,1,1,0,-200.0,0.0,-200.0,4478060.0
2019-11-30 01:39:00,26383.0,2,1,1,0,150.0,0.0,150.0,4478210.0
2019-11-30 01:40:00,26380.0,2,1,1,0,-150.0,0.0,-150.0,4478060.0
2019-11-30 01:41:00,26383.0,2,1,1,0,150.0,0.0,150.0,4478210.0
2019-11-30 01:42:00,26385.0,2,1,1,0,100.0,0.0,100.0,4478310.0
2019-11-30 01:43:00,26381.0,2,1,1,0,-200.0,0.0,-200.0,4478110.0
2019-11-30 01:44:00,26386.0,0,1,-1,2,-250.0,120.0,-370.0,4477740.0
2019-11-30 01:45:00,26382.0,2,-1,1,2,-200.0,120.0,-320.0,4477420.0
2019-11-30 01:46:00,26384.0,2,1,1,0,100.0,0.0,100.0,4477520.0
2019-11-30 01:47:00,26385.0,2,1,1,0,50.0,0.0,50.0,4477570.0
2019-11-30 01:48:00,26388.0,2,1,1,0,150.0,0.0,150.0,4477720.0
2019-11-30 01:49:00,26379.0,2,1,1,0,-450.0,0.0,-450.0,4477270.0
2019-11-30 01:50:00,26386.0,0,1,-1,2,-350.0,120.0,-470.0,4476800.0
2019-11-30 01:51:00,26382.0,2,-1,1,2,-200.0,120.0,-320.0,4476480.0
2019-11-30 01:52:00,26382.0,2,1,1,0,0.0,0.0,0.0,4476480.0
2019-11-30 01:53:00,26381.0,2,1,1,0,-50.0,0.0,-50.0,4476430.0
2019-11-30 01:54:00,26384.0,2,1,1,0,150.0,0.0,150.0,4476580.0
2019-11-30 01:55:00,26385.0,2,1,1,0,50.0,0.0,50.0,4476630.0
2019-11-30 01:56:00,26381.0,2,1,1,0,-200.0,0.0,-200.0,4476430.0
2019-11-30 01:57:00,26380.0,2,1,1,0,-50.0,0.0,-50.0,4476380.0
2019-11-30 01:58:00,26382.0,2,1,1,0,100.0,0.0,100.0,4476480.0
2019-11-30 01:59:00,26386.0,2,1,1,0,200.0,0.0,200.0,4476680.0
2019-11-30 02:00:00,26392.0,2,1,1,0,300.0,0.0,300.0,4476980.0
2019-11-30 02:01:00,26393.0,2,1,1,0,50.0,0.0,50.0,4477030.0
2019-11-30 02:02:00,26391.0,2,1,1,0,-100.0,0.0,-100.0,4476930.0
2019-11-30 02:03:00,26391.0,2,1,1,0,0.0,0.0,0.0,4476930.0
2019-11-30 02:04:00,26393.0,2,1,1,0,100.0,0.0,100.0,4477030.0
2019-11-30 02:05:00,26398.0,2,1,1,0,250.0,0.0,250.0,4477280.0
2019-11-30 02:06:00,26403.0,2,1,1,0,250.0,0.0,250.0,4477530.0
2019-11-30 02:07:00,26408.0,2,1,1,0,250.0,0.0,250.0,4477780.0
