trade_id,entry_time,exit_time,entry_price,exit_price,position,trade_pnl,balance_after_trade,initial_capital
3117,2020-02-12 10:07:00,2020-02-12 10:13:00,27643.0,27649.0,1,-210.0,5276660.0,5000000.0
3118,2020-02-12 10:15:00,2020-02-12 10:17:00,27661.0,27684.0,1,140.0,5277740.0,5000000.0
3119,2020-02-12 10:19:00,2020-02-12 10:20:00,27645.0,27627.0,-1,-1020.0,5277410.0,5000000.0
3120,2020-02-12 10:20:00,2020-02-12 10:23:00,27627.0,27653.0,1,690.0,5278100.0,5000000.0
3121,2020-02-12 10:26:00,2020-02-12 10:27:00,27670.0,27680.0,1,-60.0,5278330.0,5000000.0
3122,2020-02-12 10:29:00,2020-02-12 10:30:00,27680.0,27674.0,-1,-420.0,5277100.0,5000000.0
3123,2020-02-12 10:30:00,2020-02-12 10:31:00,27674.0,27687.0,1,-60.0,5277040.0,5000000.0
3124,2020-02-12 10:32:00,2020-02-12 10:33:00,27696.0,27704.0,1,-60.0,5277370.0,5000000.0
3125,2020-02-12 10:35:00,2020-02-12 10:36:00,27704.0,27706.0,-1,-60.0,5276650.0,5000000.0
3126,2020-02-12 10:38:00,2020-02-12 10:46:00,27694.0,27696.0,1,-710.0,5275380.0,5000000.0
3127,2020-02-12 10:49:00,2020-02-12 11:00:00,27687.0,27681.0,1,-1160.0,5274110.0,5000000.0
3128,2020-02-12 11:03:00,2020-02-12 11:04:00,27686.0,27691.0,1,-60.0,5273890.0,5000000.0
3129,2020-02-12 11:05:00,2020-02-12 11:19:00,27682.0,27713.0,1,1190.0,5274570.0,5000000.0
3130,2020-02-12 11:21:00,2020-02-12 11:26:00,27710.0,27696.0,1,-60.0,5274000.0,5000000.0
3131,2020-02-12 11:27:00,2020-02-12 11:28:00,27690.0,27702.0,-1,480.0,5274720.0,5000000.0
3132,2020-02-12 11:28:00,2020-02-12 11:30:00,27702.0,27711.0,1,240.0,5274960.0,5000000.0
3133,2020-02-12 11:32:00,2020-02-12 13:01:00,27716.0,27745.0,1,890.0,5275640.0,5000000.0
3134,2020-02-12 13:03:00,2020-02-12 13:26:00,27744.0,27777.0,1,2140.0,5277220.0,5000000.0
3135,2020-02-12 13:27:00,2020-02-12 13:28:00,27776.0,27784.0,-1,280.0,5277490.0,5000000.0
3136,2020-02-12 13:28:00,2020-02-12 13:44:00,27784.0,27813.0,1,1590.0,5279080.0,5000000.0
3137,2020-02-12 13:45:00,2020-02-12 13:58:00,27812.0,27787.0,1,-1260.0,5277710.0,5000000.0
3138,2020-02-12 13:59:00,2020-02-12 14:03:00,27787.0,27800.0,1,1040.0,5278690.0,5000000.0
3139,2020-02-12 14:04:00,2020-02-12 14:05:00,27800.0,27807.0,-1,230.0,5278860.0,5000000.0
3140,2020-02-12 14:05:00,2020-02-12 16:22:00,27807.0,27751.0,1,-3210.0,5275650.0,5000000.0
3141,2020-02-12 16:24:00,2020-02-12 16:27:00,27747.0,27781.0,1,840.0,5276280.0,5000000.0
3142,2020-02-12 16:29:00,2020-02-13 09:15:00,27770.0,27789.0,-1,830.0,5277400.0,5000000.0
3143,2020-02-13 09:15:00,2020-02-13 09:16:00,27789.0,27825.0,1,-60.0,5277340.0,5000000.0
3144,2020-02-13 09:17:00,2020-02-13 09:18:00,27826.0,27809.0,1,-60.0,5277270.0,5000000.0
3145,2020-02-13 09:19:00,2020-02-13 09:26:00,27810.0,27828.0,1,1140.0,5278400.0,5000000.0
3146,2020-02-13 09:27:00,2020-02-13 09:28:00,27836.0,27809.0,-1,-1470.0,5276470.0,5000000.0
3147,2020-02-13 09:28:00,2020-02-13 09:37:00,27809.0,27765.0,1,-1260.0,5275210.0,5000000.0
3148,2020-02-13 09:38:00,2020-02-13 09:39:00,27737.0,27748.0,-1,430.0,5276980.0,5000000.0
3149,2020-02-13 09:39:00,2020-02-13 09:41:00,27748.0,27738.0,1,-610.0,5276370.0,5000000.0
3150,2020-02-13 09:42:00,2020-02-13 09:44:00,27748.0,27777.0,1,590.0,5277400.0,5000000.0
3151,2020-02-13 09:49:00,2020-02-13 09:54:00,27779.0,27764.0,1,-710.0,5276230.0,5000000.0
3152,2020-02-13 09:55:00,2020-02-13 10:06:00,27767.0,27668.0,1,-5660.0,5270660.0,5000000.0
3153,2020-02-13 10:10:00,2020-02-13 10:11:00,27699.0,27696.0,1,-60.0,5271540.0,5000000.0
3154,2020-02-13 10:13:00,2020-02-13 10:15:00,27664.0,27677.0,1,-10.0,5271320.0,5000000.0
3155,2020-02-13 10:16:00,2020-02-13 10:17:00,27689.0,27707.0,1,-60.0,5271800.0,5000000.0
3156,2020-02-13 10:20:00,2020-02-13 10:22:00,27692.0,27706.0,1,390.0,5272130.0,5000000.0
3157,2020-02-13 10:26:00,2020-02-13 10:33:00,27702.0,27707.0,1,290.0,5271960.0,5000000.0
3158,2020-02-13 10:35:00,2020-02-13 10:36:00,27728.0,27733.0,1,-60.0,5272890.0,5000000.0
3159,2020-02-13 10:38:00,2020-02-13 10:40:00,27734.0,27736.0,1,-110.0,5273370.0,5000000.0
3160,2020-02-13 10:43:00,2020-02-13 10:46:00,27714.0,27742.0,1,1890.0,5274750.0,5000000.0
3161,2020-02-13 10:48:00,2020-02-13 10:51:00,27726.0,27745.0,1,1190.0,5275380.0,5000000.0
3162,2020-02-13 10:52:00,2020-02-13 11:03:00,27753.0,27749.0,1,-610.0,5275110.0,5000000.0
3163,2020-02-13 11:06:00,2020-02-13 11:08:00,27744.0,27758.0,1,1540.0,5276290.0,5000000.0
3164,2020-02-13 11:09:00,2020-02-13 11:10:00,27743.0,27735.0,-1,-520.0,5276460.0,5000000.0
3165,2020-02-13 11:10:00,2020-02-13 11:15:00,27735.0,27760.0,1,1040.0,5277500.0,5000000.0
3166,2020-02-13 11:18:00,2020-02-13 11:19:00,27747.0,27745.0,-1,-220.0,5277520.0,5000000.0
3167,2020-02-13 11:19:00,2020-02-13 13:04:00,27745.0,27654.0,1,-5060.0,5272460.0,5000000.0
3168,2020-02-13 13:07:00,2020-02-13 13:11:00,27629.0,27662.0,1,1440.0,5272840.0,5000000.0
3169,2020-02-13 13:13:00,2020-02-13 13:18:00,27663.0,27671.0,1,140.0,5273320.0,5000000.0
3170,2020-02-13 13:19:00,2020-02-13 14:01:00,27660.0,27669.0,1,90.0,5272800.0,5000000.0
3171,2020-02-13 14:03:00,2020-02-13 16:23:00,27681.0,27666.0,1,-710.0,5272330.0,5000000.0
3172,2020-02-13 16:24:00,2020-02-14 09:16:00,27662.0,27635.0,1,390.0,5272460.0,5000000.0
3173,2020-02-14 09:17:00,2020-02-14 09:22:00,27618.0,27621.0,1,390.0,5271940.0,5000000.0
3174,2020-02-14 09:23:00,2020-02-14 09:25:00,27625.0,27622.0,1,390.0,5272470.0,5000000.0
3175,2020-02-14 09:26:00,2020-02-14 09:27:00,27617.0,27623.0,-1,180.0,5272840.0,5000000.0
3176,2020-02-14 09:27:00,2020-02-14 09:32:00,27623.0,27679.0,1,2340.0,5275180.0,5000000.0
3177,2020-02-14 09:35:00,2020-02-14 09:37:00,27666.0,27746.0,1,2440.0,5276760.0,5000000.0
3178,2020-02-14 09:40:00,2020-02-14 09:44:00,27741.0,27766.0,1,490.0,5277740.0,5000000.0
3179,2020-02-14 09:47:00,2020-02-14 09:49:00,27755.0,27755.0,1,840.0,5278820.0,5000000.0
3180,2020-02-14 09:51:00,2020-02-14 09:52:00,27766.0,27800.0,1,-60.0,5279100.0,5000000.0
3181,2020-02-14 09:55:00,2020-02-14 10:06:00,27782.0,27772.0,1,-1060.0,5277830.0,5000000.0
3182,2020-02-14 10:09:00,2020-02-14 10:12:00,27730.0,27760.0,1,1490.0,5278510.0,5000000.0
3183,2020-02-14 10:19:00,2020-02-14 10:22:00,27787.0,27804.0,1,1190.0,5279290.0,5000000.0
3184,2020-02-14 10:24:00,2020-02-14 10:32:00,27804.0,27812.0,1,290.0,5279420.0,5000000.0
3185,2020-02-14 10:34:00,2020-02-14 10:41:00,27808.0,27805.0,1,190.0,5279200.0,5000000.0
3186,2020-02-14 10:42:00,2020-02-14 10:43:00,27799.0,27804.0,-1,130.0,5279570.0,5000000.0
3187,2020-02-14 10:43:00,2020-02-14 10:45:00,27804.0,27818.0,1,440.0,5280010.0,5000000.0
3188,2020-02-14 10:49:00,2020-02-14 10:51:00,27830.0,27849.0,1,540.0,5280840.0,5000000.0
3189,2020-02-14 10:53:00,2020-02-14 11:13:00,27848.0,27869.0,1,1290.0,5282470.0,5000000.0
3190,2020-02-14 11:14:00,2020-02-14 11:15:00,27874.0,27883.0,-1,330.0,5282490.0,5000000.0
3191,2020-02-14 11:15:00,2020-02-14 11:16:00,27883.0,27876.0,1,-60.0,5282430.0,5000000.0
3192,2020-02-14 11:17:00,2020-02-14 11:18:00,27865.0,27872.0,-1,230.0,5283150.0,5000000.0
3193,2020-02-14 11:18:00,2020-02-14 11:22:00,27872.0,27898.0,1,1540.0,5284690.0,5000000.0
3194,2020-02-14 11:23:00,2020-02-14 11:24:00,27889.0,27883.0,-1,-420.0,5284660.0,5000000.0
3195,2020-02-14 11:24:00,2020-02-14 13:04:00,27883.0,27842.0,1,-2160.0,5282500.0,5000000.0
3196,2020-02-14 13:06:00,2020-02-14 14:00:00,27836.0,27789.0,1,-2710.0,5279530.0,5000000.0
3197,2020-02-14 14:02:00,2020-02-14 14:12:00,27782.0,27782.0,1,40.0,5279460.0,5000000.0
3198,2020-02-14 14:14:00,2020-02-14 14:32:00,27778.0,27745.0,1,-2010.0,5277390.0,5000000.0
3199,2020-02-14 14:33:00,2020-02-14 15:18:00,27743.0,27775.0,1,1890.0,5279120.0,5000000.0
3200,2020-02-14 15:19:00,2020-02-14 15:20:00,27778.0,27776.0,-1,-220.0,5278690.0,5000000.0
3201,2020-02-14 15:20:00,2020-02-17 09:17:00,27776.0,27695.0,1,-3760.0,5274930.0,5000000.0
3202,2020-02-17 09:18:00,2020-02-17 09:20:00,27716.0,27707.0,1,40.0,5275960.0,5000000.0
3203,2020-02-17 09:21:00,2020-02-17 09:22:00,27743.0,27737.0,1,-60.0,5277640.0,5000000.0
3204,2020-02-17 09:24:00,2020-02-17 09:27:00,27732.0,27767.0,1,840.0,5277920.0,5000000.0
3205,2020-02-17 09:29:00,2020-02-17 09:30:00,27744.0,27742.0,-1,-220.0,5277890.0,5000000.0
3206,2020-02-17 09:30:00,2020-02-17 09:34:00,27742.0,27811.0,1,3490.0,5281380.0,5000000.0
3207,2020-02-17 09:36:00,2020-02-17 09:39:00,27793.0,27841.0,1,2490.0,5283660.0,5000000.0
3208,2020-02-17 09:41:00,2020-02-17 09:42:00,27873.0,27884.0,1,-60.0,5284690.0,5000000.0
3209,2020-02-17 09:44:00,2020-02-17 09:48:00,27864.0,27915.0,1,2090.0,5286020.0,5000000.0
3210,2020-02-17 09:54:00,2020-02-17 10:00:00,27946.0,27920.0,1,90.0,5286450.0,5000000.0
3211,2020-02-17 10:01:00,2020-02-17 10:04:00,27919.0,27944.0,1,1040.0,5287380.0,5000000.0
3212,2020-02-17 10:06:00,2020-02-17 10:09:00,27939.0,27960.0,1,490.0,5287910.0,5000000.0
3213,2020-02-17 10:10:00,2020-02-17 10:15:00,27937.0,27953.0,1,790.0,5287490.0,5000000.0
3214,2020-02-17 10:17:00,2020-02-17 10:25:00,27943.0,27915.0,1,-460.0,5287270.0,5000000.0
3215,2020-02-17 10:26:00,2020-02-17 10:33:00,27913.0,27941.0,1,1240.0,5288350.0,5000000.0
3216,2020-02-17 10:35:00,2020-02-17 10:37:00,27946.0,27948.0,1,90.0,5288930.0,5000000.0
3217,2020-02-17 10:38:00,2020-02-17 10:43:00,27941.0,27956.0,1,290.0,5288810.0,5000000.0
3218,2020-02-17 10:46:00,2020-02-17 10:58:00,27951.0,27941.0,1,-110.0,5288690.0,5000000.0
3219,2020-02-17 10:59:00,2020-02-17 11:00:00,27955.0,27942.0,-1,-60.0,5287870.0,5000000.0
3220,2020-02-17 11:01:00,2020-02-17 11:02:00,27942.0,27945.0,-1,30.0,5287840.0,5000000.0
3221,2020-02-17 11:02:00,2020-02-17 11:23:00,27945.0,27901.0,1,-1660.0,5286180.0,5000000.0
3222,2020-02-17 11:24:00,2020-02-17 14:20:00,27912.0,27966.0,1,3590.0,5290260.0,5000000.0
3223,2020-02-17 14:21:00,2020-02-17 14:22:00,27969.0,27962.0,-1,-470.0,5289580.0,5000000.0
3224,2020-02-17 14:22:00,2020-02-18 09:16:00,27962.0,27651.0,1,-15970.0,5273610.0,5000000.0
3225,2020-02-18 09:16:00,2020-02-18 09:17:00,27651.0,27664.0,-1,530.0,5274140.0,5000000.0
3226,2020-02-18 09:17:00,2020-02-18 09:26:00,27664.0,27652.0,1,-510.0,5273630.0,5000000.0
3227,2020-02-18 09:28:00,2020-02-18 09:30:00,27639.0,27676.0,1,540.0,5274210.0,5000000.0
3228,2020-02-18 09:33:00,2020-02-18 09:38:00,27631.0,27643.0,1,1940.0,5274890.0,5000000.0
3229,2020-02-18 09:40:00,2020-02-18 09:45:00,27583.0,27593.0,1,940.0,5275370.0,5000000.0
3230,2020-02-18 09:46:00,2020-02-18 09:51:00,27580.0,27582.0,1,-610.0,5274050.0,5000000.0
3231,2020-02-18 09:53:00,2020-02-18 09:55:00,27568.0,27588.0,1,1390.0,5274980.0,5000000.0
3232,2020-02-18 09:57:00,2020-02-18 10:02:00,27596.0,27626.0,1,1840.0,5276710.0,5000000.0
3233,2020-02-18 10:06:00,2020-02-18 10:07:00,27659.0,27651.0,1,-60.0,5277590.0,5000000.0
3234,2020-02-18 10:09:00,2020-02-18 10:15:00,27650.0,27626.0,1,-510.0,5276820.0,5000000.0
3235,2020-02-18 10:16:00,2020-02-18 10:17:00,27610.0,27621.0,-1,430.0,5277990.0,5000000.0
3236,2020-02-18 10:17:00,2020-02-18 10:19:00,27621.0,27644.0,1,690.0,5278680.0,5000000.0
3237,2020-02-18 10:23:00,2020-02-18 10:33:00,27639.0,27565.0,1,-2760.0,5275560.0,5000000.0
3238,2020-02-18 10:34:00,2020-02-18 10:35:00,27570.0,27574.0,-1,80.0,5275330.0,5000000.0
3239,2020-02-18 10:35:00,2020-02-18 10:37:00,27574.0,27574.0,1,640.0,5275970.0,5000000.0
3240,2020-02-18 10:38:00,2020-02-18 10:39:00,27563.0,27565.0,-1,-20.0,5276440.0,5000000.0
3241,2020-02-18 10:39:00,2020-02-18 10:51:00,27565.0,27529.0,1,-1610.0,5274830.0,5000000.0
3242,2020-02-18 10:53:00,2020-02-18 11:03:00,27508.0,27495.0,1,-960.0,5273010.0,5000000.0
3243,2020-02-18 11:05:00,2020-02-18 11:10:00,27492.0,27509.0,1,940.0,5273440.0,5000000.0
3244,2020-02-18 11:11:00,2020-02-18 11:14:00,27500.0,27514.0,1,640.0,5273570.0,5000000.0
3245,2020-02-18 11:16:00,2020-02-18 11:23:00,27508.0,27501.0,1,-1360.0,5271700.0,5000000.0
3246,2020-02-18 11:28:00,2020-02-18 13:06:00,27508.0,27471.0,1,-1960.0,5269430.0,5000000.0
3247,2020-02-18 13:08:00,2020-02-18 13:36:00,27473.0,27504.0,1,940.0,5270710.0,5000000.0
3248,2020-02-18 13:39:00,2020-02-18 15:19:00,27515.0,27480.0,1,-1960.0,5268840.0,5000000.0
3249,2020-02-18 15:21:00,2020-02-19 09:16:00,27478.0,27464.0,1,-1360.0,5267420.0,5000000.0
